,r,delay,repetition,avgtime,congested,congested_ratio,f,informed
103,70,1,3,1.3223400209016367,False,False,1,1.0
104,70,1,4,1.3244120749478474,False,False,1,1.0
105,70,1,5,1.3316028876708548,False,False,1,1.0
106,70,1,6,1.3210723439293834,False,False,1,1.0
107,70,1,7,1.3270377635695956,False,False,1,1.0
108,70,1,8,1.3218932468625753,False,False,1,1.0
109,70,1,9,1.3230334623840805,False,False,1,1.0
110,70,1,10,1.321908816663846,False,False,1,1.0
111,70,1,11,1.3268343539214351,False,False,1,1.0
112,70,1,12,1.328469169431643,False,False,1,1.0
113,70,1,13,1.322768883358449,False,False,1,1.0
114,70,1,14,1.32345817191777,False,False,1,1.0
115,70,1,15,1.3255731417652437,False,False,1,1.0
116,70,1,16,1.3244547998955878,False,False,1,1.0
117,70,1,17,1.3226565119912266,False,False,1,1.0
118,70,1,18,1.3214592929658096,False,False,1,1.0
119,70,1,19,1.32359477833103,False,False,1,1.0
120,70,1,20,1.3332774347106828,False,False,1,1.0
121,70,1,21,1.3252806400723416,False,False,1,1.0
122,70,1,22,1.3286056275006015,False,False,1,1.0
123,70,1,23,1.3219339228102571,False,False,1,1.0
124,70,1,24,1.3256059503432054,False,False,1,1.0
125,70,1,25,1.327299167202388,False,False,1,1.0
126,70,1,26,1.3298746583106624,False,False,1,1.0
127,70,1,27,1.3273369908709816,False,False,1,1.0
128,70,1,28,1.3315407404580728,False,False,1,1.0
129,70,1,29,1.323586923867678,False,False,1,1.0
130,70,1,30,1.3276854112777179,False,False,1,1.0
131,70,1,31,1.3261788209953262,False,False,1,1.0
132,70,1,32,1.326389095432786,False,False,1,1.0
133,70,1,33,1.327582433155939,False,False,1,1.0
134,70,1,34,1.3285143401501769,False,False,1,1.0
135,70,1,35,1.3243020899982365,False,False,1,1.0
136,70,1,36,1.319633420881524,False,False,1,1.0
137,70,1,37,1.3233137476380712,False,False,1,1.0
138,70,1,38,1.3279943708780308,False,False,1,1.0
139,70,1,39,1.323448586436318,False,False,1,1.0
140,70,1,40,1.3244089479547674,False,False,1,1.0
141,70,1,41,1.3254442630411225,False,False,1,1.0
142,70,1,42,1.3295048736565285,False,False,1,1.0
143,70,1,43,1.32150976924592,False,False,1,1.0
