r,delay,repetition,avgtime,congested,f,informed
210.0,15.0,0.0,2.6331062810182684,1.0,0.4,0.39928922475294615
210.0,15.0,1.0,1.6146283946341242,0.0,0.4,0.39794379712131595
210.0,15.0,2.0,8.936363116143207,1.0,0.4,0.40129294421869227
210.0,15.0,3.0,1.609115688427901,0.0,0.4,0.4014131859365206
210.0,15.0,4.0,6.368596010964093,1.0,0.4,0.39473972602739726
210.0,15.0,5.0,1.6464992172923187,0.0,0.4,0.39891093928656335
210.0,15.0,6.0,15.492144109915564,1.0,0.4,0.3987482526369297
210.0,15.0,7.0,2.368146018762183,1.0,0.4,0.40121864285956754
210.0,15.0,8.0,3.0746509098130255,1.0,0.4,0.39933659414178896
210.0,15.0,9.0,3.8353201504948333,1.0,0.4,0.39888570052154243
210.0,15.0,10.0,1.6111331943335512,0.0,0.4,0.40088555858310626
210.0,15.0,11.0,1.6232462705862964,0.0,0.4,0.4005944443188753
210.0,15.0,12.0,22.32064880287575,1.0,0.4,0.3967811085780394
210.0,15.0,13.0,2.170685984236499,1.0,0.4,0.39936557557925706
210.0,15.0,14.0,1.6370109231079233,0.0,0.4,0.40011070569230595
210.0,15.0,15.0,3.1472517587105173,1.0,0.4,0.39734014055655353
210.0,15.0,16.0,10.903176889142626,1.0,0.4,0.4001965262654698
210.0,15.0,17.0,1.6141495650532307,0.0,0.4,0.39916695195709234
210.0,15.0,18.0,1.6119518601710552,0.0,0.4,0.3993097341113962
210.0,15.0,19.0,3.833169222775204,1.0,0.4,0.39881699229252554
210.0,15.0,20.0,2.348985067770414,1.0,0.4,0.40011160714285715
210.0,15.0,21.0,8.47578186873996,1.0,0.4,0.39929167142693933
210.0,15.0,22.0,5.542666040014829,1.0,0.4,0.40231619697516485
210.0,15.0,23.0,4.5243243415273025,1.0,0.4,0.3996821493897868
210.0,15.0,24.0,2.206509340319009,1.0,0.4,0.40089352196574835
210.0,15.0,25.0,2.352507765769312,1.0,0.4,0.39862807373694376
210.0,15.0,26.0,5.128632000015956,1.0,0.4,0.4029085457271364
210.0,15.0,27.0,2.4512588101934933,1.0,0.4,0.3985455814765257
210.0,15.0,28.0,11.473412896007456,1.0,0.4,0.39824547019758955
210.0,15.0,29.0,12.432871257806024,1.0,0.4,0.3988809431195955
210.0,15.0,30.0,4.775155352028027,1.0,0.4,0.40232713037095436
210.0,15.0,31.0,1.9663902938644706,0.0,0.4,0.39914279575242856
210.0,15.0,32.0,9.585544442306281,1.0,0.4,0.3996772670025189
210.0,15.0,33.0,13.052509590116774,1.0,0.4,0.40107036045962535
210.0,15.0,34.0,2.6980265117430604,1.0,0.4,0.40077839593132925
210.0,15.0,35.0,2.7993467004532038,1.0,0.4,0.40005267976971415
210.0,15.0,36.0,3.977856610902831,1.0,0.4,0.4015265562686528
210.0,15.0,37.0,4.9568353777457705,1.0,0.4,0.40804751458076943
210.0,15.0,38.0,6.731415827627121,1.0,0.4,0.3970414767111933
210.0,15.0,39.0,6.350852618451648,1.0,0.4,0.4010889292196007
210.0,15.0,40.0,4.00188109773704,1.0,0.4,0.40306496553746884
210.0,15.0,41.0,1.6295923017617595,0.0,0.4,0.4018074067346336
210.0,15.0,42.0,6.30263745904415,1.0,0.4,0.4038764998362462
210.0,15.0,43.0,3.420683051268677,1.0,0.4,0.3946422737667429
210.0,15.0,44.0,4.311861917966751,1.0,0.4,0.3978164009279376
210.0,15.0,45.0,2.848166822788852,1.0,0.4,0.39871029018470844
210.0,15.0,46.0,10.865313991896517,1.0,0.4,0.39824631327222
210.0,15.0,47.0,3.9953867341343203,1.0,0.4,0.39976145637162586
210.0,15.0,48.0,3.9756058364629965,1.0,0.4,0.4036998890825543
