r,delay,repetition,avgtime,congested,f,informed
210.0,0.0,0.0,1.5598825827195317,0.0,0.7,0.702605958141433
210.0,0.0,1.0,1.5702232005401044,0.0,0.7,0.6987487074624438
210.0,0.0,2.0,1.5706308871224102,0.0,0.7,0.7008553962018549
210.0,0.0,3.0,1.5672598542608176,0.0,0.7,0.6983936538259927
210.0,0.0,4.0,1.5712326619275248,0.0,0.7,0.7025856563991223
210.0,0.0,5.0,1.5751288017008063,0.0,0.7,0.7003426447528892
210.0,0.0,6.0,1.5706085449383924,0.0,0.7,0.7001158480074142
210.0,0.0,7.0,1.5753901355125097,0.0,0.7,0.6983779044278825
210.0,0.0,8.0,1.5689297551776658,0.0,0.7,0.6994766833352716
210.0,0.0,9.0,1.5742388755051733,0.0,0.7,0.6985094693896474
210.0,0.0,10.0,1.5676786107307195,0.0,0.7,0.7021261747464409
210.0,0.0,11.0,1.579841186847843,0.0,0.7,0.6980510473019836
210.0,0.0,12.0,1.570565483220773,0.0,0.7,0.700081244196843
210.0,0.0,13.0,1.5761317931085965,0.0,0.7,0.6997427757050495
210.0,0.0,14.0,1.5707801268810337,0.0,0.7,0.7009778872061693
210.0,0.0,15.0,1.5602128420022239,0.0,0.7,0.7008271037330807
210.0,0.0,16.0,1.5709774804800947,0.0,0.7,0.7010465979764225
210.0,0.0,17.0,1.561023812568975,0.0,0.7,0.6975640546100618
210.0,0.0,18.0,1.5702768404745422,0.0,0.7,0.7008377194511253
210.0,0.0,19.0,1.5718215729008669,0.0,0.7,0.6996210936142108
210.0,0.0,20.0,1.5696109501839348,0.0,0.7,0.6990704745105776
210.0,0.0,21.0,1.5666854927446738,0.0,0.7,0.6987862245194262
210.0,0.0,22.0,1.5634375747540064,0.0,0.7,0.6991817725537801
210.0,0.0,23.0,1.5751953778951182,0.0,0.7,0.6964866962434408
210.0,0.0,24.0,1.5613971744139528,0.0,0.7,0.6985005417623004
210.0,0.0,25.0,1.5623799835506433,0.0,0.7,0.7002915451895044
210.0,0.0,26.0,1.566248093676857,0.0,0.7,0.6987803318334554
210.0,0.0,27.0,1.563836102221677,0.0,0.7,0.6969421737814109
210.0,0.0,28.0,1.5703502809107517,0.0,0.7,0.6992533668271579
210.0,0.0,29.0,1.5650502423803931,0.0,0.7,0.6997943797121315
210.0,0.0,30.0,1.5674241406684295,0.0,0.7,0.7031841201466907
210.0,0.0,31.0,1.5656218841446745,0.0,0.7,0.6994800572286003
210.0,0.0,32.0,1.5680443012061733,0.0,0.7,0.7021076358228378
210.0,0.0,33.0,1.5702307517340053,0.0,0.7,0.6999930497636919
210.0,0.0,34.0,1.5649464370163308,0.0,0.7,0.6993857194282197
210.0,0.0,35.0,1.580375671047561,0.0,0.7,0.7000046201113447
210.0,0.0,36.0,1.5690083923037728,0.0,0.7,0.700803959383786
210.0,0.0,37.0,1.5667661342184065,0.0,0.7,0.6990734290093353
210.0,0.0,38.0,1.5692412152096453,0.0,0.7,0.7014423636152146
210.0,0.0,39.0,1.5673960552951893,0.0,0.7,0.700412335211104
210.0,0.0,40.0,1.5708143429168706,0.0,0.7,0.7005437687356215
210.0,0.0,41.0,1.5720115504923182,0.0,0.7,0.6985424233957344
210.0,0.0,42.0,1.5783301181919596,0.0,0.7,0.7012337138245128
210.0,0.0,43.0,1.5739330912848373,0.0,0.7,0.7002760828712619
210.0,0.0,44.0,1.5637425916597854,0.0,0.7,0.700324860566119
210.0,0.0,45.0,1.5687413802756232,0.0,0.7,0.6991859518548669
210.0,0.0,46.0,1.5677576470267072,0.0,0.7,0.6995750625764015
210.0,0.0,47.0,1.563090427883953,0.0,0.7,0.6983639484778065
210.0,0.0,48.0,1.566572060493794,0.0,0.7,0.6970315398886827
210.0,0.0,49.0,1.5678859020153328,0.0,0.7,0.699318479989783
210.0,0.0,50.0,1.5693970867905342,0.0,0.7,0.7003792521332932
210.0,0.0,51.0,1.569487837726979,0.0,0.7,0.7015048228529029
210.0,0.0,52.0,1.5675176901006818,0.0,0.7,0.7016006230457171
210.0,0.0,53.0,1.5754875165538116,0.0,0.7,0.7010533374958087
210.0,0.0,54.0,1.5658390907680448,0.0,0.7,0.7012574948090428
210.0,0.0,55.0,1.5743641042983836,0.0,0.7,0.7020685503941474
210.0,0.0,56.0,1.5755077681222482,0.0,0.7,0.7001706523995112
210.0,0.0,57.0,1.5655741000253387,0.0,0.7,0.7005085022509389
210.0,0.0,58.0,1.5737505123519464,0.0,0.7,0.6977442388834794
210.0,0.0,59.0,1.5663307216705833,0.0,0.7,0.7005666117084272
210.0,0.0,60.0,1.5709604002550897,0.0,0.7,0.703661539891269
210.0,0.0,61.0,1.5643674870830064,0.0,0.7,0.6997530749161387
210.0,0.0,62.0,1.5728977953138807,0.0,0.7,0.6995101842309429
210.0,0.0,63.0,1.5764093746431582,0.0,0.7,0.6987354355465137
210.0,0.0,64.0,1.571206365006183,0.0,0.7,0.6998959417273674
210.0,0.0,65.0,1.5653134987872586,0.0,0.7,0.6990814137834561
210.0,0.0,66.0,1.5709429170313725,0.0,0.7,0.6989258513322685
210.0,0.0,67.0,1.5665775973637135,0.0,0.7,0.6991834032222467
210.0,0.0,68.0,1.5747829656215486,0.0,0.7,0.7016554147785073
210.0,0.0,69.0,1.5742787420595037,0.0,0.7,0.7024880460329038
210.0,0.0,70.0,1.5718313764223293,0.0,0.7,0.7039375369252691
