r,delay,repetition,avgtime,congested,f,informed
210.0,0.0,0.0,1.566857438118499,0.0,1.0,1.0
210.0,0.0,1.0,1.5618107184375618,0.0,1.0,1.0
210.0,0.0,2.0,1.572781475649149,0.0,1.0,1.0
210.0,0.0,3.0,1.568894789537548,0.0,1.0,1.0
210.0,0.0,4.0,1.5563517210607378,0.0,1.0,1.0
210.0,0.0,5.0,1.5589235753329684,0.0,1.0,1.0
210.0,0.0,6.0,1.562182999283189,0.0,1.0,1.0
210.0,0.0,7.0,1.5622203090117677,0.0,1.0,1.0
210.0,0.0,8.0,1.5536220863343269,0.0,1.0,1.0
210.0,0.0,9.0,1.5706708713800195,0.0,1.0,1.0
210.0,1.0,0.0,1.581039829275304,0.0,1.0,1.0
210.0,1.0,1.0,1.5781947695494651,0.0,1.0,1.0
210.0,1.0,2.0,1.5937580781818745,0.0,1.0,1.0
210.0,1.0,3.0,1.5714938997371017,0.0,1.0,1.0
210.0,1.0,4.0,1.5947509007885794,0.0,1.0,1.0
210.0,1.0,5.0,1.5871284059201887,0.0,1.0,1.0
210.0,1.0,6.0,1.5877028467106717,0.0,1.0,1.0
210.0,1.0,7.0,1.5814062345560005,0.0,1.0,1.0
210.0,1.0,8.0,1.5929381961637648,0.0,1.0,1.0
210.0,1.0,9.0,1.57975478158845,0.0,1.0,1.0
210.0,2.0,0.0,1.597871663805254,0.0,1.0,1.0
210.0,2.0,1.0,1.6115388674529008,0.0,1.0,1.0
210.0,2.0,2.0,1.6058589792553408,0.0,1.0,1.0
210.0,2.0,3.0,1.6106369697213423,0.0,1.0,1.0
210.0,2.0,4.0,1.6125257961822346,0.0,1.0,1.0
210.0,2.0,5.0,1.6135174721643735,0.0,1.0,1.0
210.0,2.0,6.0,1.615090357125943,0.0,1.0,1.0
210.0,2.0,7.0,1.6017390899974187,0.0,1.0,1.0
210.0,2.0,8.0,1.6203431108262072,0.0,1.0,1.0
210.0,2.0,9.0,1.6113775665555048,0.0,1.0,1.0
210.0,3.0,0.0,1.6333856701592269,0.0,1.0,1.0
210.0,3.0,1.0,1.6295748902305973,0.0,1.0,1.0
210.0,3.0,2.0,1.6214021201723592,0.0,1.0,1.0
210.0,3.0,3.0,1.646463524490025,0.0,1.0,1.0
210.0,3.0,4.0,1.641713445040173,0.0,1.0,1.0
210.0,3.0,5.0,1.6312919491034226,0.0,1.0,1.0
210.0,3.0,6.0,1.6150687250253544,0.0,1.0,1.0
210.0,3.0,7.0,1.6345434990921472,0.0,1.0,1.0
210.0,3.0,8.0,1.6212110040732657,0.0,1.0,1.0
210.0,3.0,9.0,1.6338576305115693,0.0,1.0,1.0
210.0,4.0,0.0,1.6585401356792457,0.0,1.0,1.0
210.0,4.0,1.0,1.7017224540572369,0.0,1.0,1.0
210.0,4.0,2.0,1.7152977067325512,0.0,1.0,1.0
210.0,4.0,3.0,1.6887382400383781,0.0,1.0,1.0
210.0,4.0,4.0,1.7120917827482165,0.0,1.0,1.0
210.0,4.0,5.0,1.6892605772220488,0.0,1.0,1.0
210.0,4.0,6.0,1.71338898222527,0.0,1.0,1.0
210.0,4.0,7.0,1.6787463383194101,0.0,1.0,1.0
210.0,4.0,8.0,8.09228521570238,1.0,1.0,1.0
210.0,4.0,9.0,1.7155515525784064,0.0,1.0,1.0
210.0,5.0,0.0,5.814370408248691,1.0,1.0,1.0
210.0,5.0,1.0,27.055111821142567,1.0,1.0,1.0
210.0,5.0,2.0,7.4417710049374035,1.0,1.0,1.0
210.0,5.0,3.0,78.01729348359763,1.0,1.0,1.0
210.0,5.0,4.0,20.407179963321486,1.0,1.0,1.0
210.0,5.0,5.0,20.212779204429303,1.0,1.0,1.0
210.0,5.0,6.0,6.205720458571937,1.0,1.0,1.0
210.0,5.0,7.0,5.731872675117712,1.0,1.0,1.0
210.0,5.0,8.0,11.18997507256086,1.0,1.0,1.0
210.0,5.0,9.0,13.829262826765774,1.0,1.0,1.0
210.0,6.0,0.0,93.56624470136579,1.0,1.0,1.0
210.0,6.0,1.0,7.2686103756577305,1.0,1.0,1.0
210.0,6.0,2.0,9.142858803196368,1.0,1.0,1.0
210.0,6.0,3.0,14.739905350076809,1.0,1.0,1.0
210.0,6.0,4.0,9.812212154080285,1.0,1.0,1.0
210.0,6.0,5.0,40.31193264297764,1.0,1.0,1.0
210.0,6.0,6.0,25.864085544103787,1.0,1.0,1.0
210.0,6.0,7.0,8.077134132169212,1.0,1.0,1.0
210.0,6.0,8.0,11.305471064359033,1.0,1.0,1.0
210.0,6.0,9.0,19.37937492544654,1.0,1.0,1.0
210.0,7.0,0.0,60.89808459471588,1.0,1.0,1.0
210.0,7.0,1.0,65.71953966220629,1.0,1.0,1.0
210.0,7.0,2.0,5.514858389513254,1.0,1.0,1.0
