r,delay,repetition,avgtime,congested,f,informed
204.0,5.0,0.0,15.613862370529429,1.0,1.0,1.0
204.0,5.0,1.0,22.325051553927675,1.0,1.0,1.0
204.0,5.0,2.0,1.6479058429832842,0.0,1.0,1.0
204.0,5.0,3.0,3.1079912545971546,1.0,1.0,1.0
204.0,5.0,4.0,1.6516060097326772,0.0,1.0,1.0
204.0,5.0,5.0,1.6433966081283835,0.0,1.0,1.0
204.0,5.0,6.0,1.6653307890339708,0.0,1.0,1.0
204.0,5.0,7.0,1.6440025580857927,0.0,1.0,1.0
204.0,5.0,8.0,1.6620709654183707,0.0,1.0,1.0
204.0,5.0,9.0,1.6754360252264064,0.0,1.0,1.0
204.0,5.0,10.0,1.6557788038942844,0.0,1.0,1.0
204.0,5.0,11.0,1.6561911088312529,0.0,1.0,1.0
204.0,5.0,12.0,1.6496435359711494,0.0,1.0,1.0
204.0,5.0,13.0,1.6399497951257769,0.0,1.0,1.0
204.0,5.0,14.0,1.6612237211333274,0.0,1.0,1.0
204.0,5.0,15.0,1.6866429052908027,0.0,1.0,1.0
204.0,5.0,16.0,1.692711491587567,0.0,1.0,1.0
204.0,5.0,17.0,1.6478485483759173,0.0,1.0,1.0
204.0,5.0,18.0,1.6512291171909033,0.0,1.0,1.0
204.0,5.0,19.0,1.7051081214078774,0.0,1.0,1.0
204.0,5.0,20.0,3.12735446169746,1.0,1.0,1.0
204.0,5.0,21.0,1.669910669439035,0.0,1.0,1.0
204.0,5.0,22.0,1.6324055883325403,0.0,1.0,1.0
204.0,5.0,23.0,44.2158798725737,1.0,1.0,1.0
204.0,5.0,24.0,3.041979107061152,1.0,1.0,1.0
204.0,5.0,25.0,1.62932241887055,0.0,1.0,1.0
204.0,5.0,26.0,1.664909116686006,0.0,1.0,1.0
204.0,5.0,27.0,1.6662606723352122,0.0,1.0,1.0
204.0,5.0,28.0,1.6549792466675053,0.0,1.0,1.0
204.0,5.0,29.0,1.6522428412986094,0.0,1.0,1.0
204.0,5.0,30.0,1.6536479383567702,0.0,1.0,1.0
204.0,5.0,31.0,1.6287412444469764,0.0,1.0,1.0
