r,delay,repetition,avgtime,congested,f,informed
210.0,0.0,0.0,1.5722194003991379,0.0,0.5,0.4991543291397326
210.0,0.0,1.0,1.5735550707040171,0.0,0.5,0.49827866945801347
210.0,0.0,2.0,1.5688142944177002,0.0,0.5,0.5028733287484409
210.0,0.0,3.0,1.580114758935931,0.0,0.5,0.5038487398854652
210.0,0.0,4.0,1.5750141803222029,0.0,0.5,0.5020251372335117
210.0,0.0,5.0,1.5730900554540646,0.0,0.5,0.5015545965009978
210.0,0.0,6.0,1.5786604790911725,0.0,0.5,0.4996865640454134
210.0,0.0,7.0,1.5704617593011834,0.0,0.5,0.49905787661673023
210.0,0.0,8.0,1.5747974432642757,0.0,0.5,0.49736808468608745
210.0,0.0,9.0,1.5702879940784036,0.0,0.5,0.49952267858806
210.0,0.0,10.0,1.573798415027518,0.0,0.5,0.5029557678041543
210.0,0.0,11.0,1.5863399819597537,0.0,0.5,0.501034622276169
210.0,0.0,12.0,1.576464387124382,0.0,0.5,0.4993688257843353
210.0,0.0,13.0,1.5683393963100365,0.0,0.5,0.4983328879956318
210.0,0.0,14.0,1.578041625275599,0.0,0.5,0.5001621533971137
210.0,0.0,15.0,1.5732721975636137,0.0,0.5,0.5007469513960464
210.0,0.0,16.0,1.5746729664171577,0.0,0.5,0.5002384192224044
210.0,0.0,17.0,1.5743977604329369,0.0,0.5,0.500673870105728
210.0,0.0,18.0,1.5784945235560512,0.0,0.5,0.5006778443391308
210.0,0.0,19.0,1.5868826640263602,0.0,0.5,0.5023426617702925
210.0,0.0,20.0,1.5791057568560967,0.0,0.5,0.49970428268256195
210.0,0.0,21.0,1.5672900846141589,0.0,0.5,0.5022166369951478
210.0,0.0,22.0,1.5676195265563722,0.0,0.5,0.5049428860865617
210.0,0.0,23.0,1.5811287285717417,0.0,0.5,0.4979187199257928
210.0,0.0,24.0,1.5700683123137171,0.0,0.5,0.499330562443971
210.0,0.0,25.0,1.57832659089524,0.0,0.5,0.5001511171041313
