r,delay,repetition,avgtime,congested,f,informed
180.0,15.0,0.0,1.4186293761700686,0.0,0.0,0.0
180.0,15.0,1.0,1.4152352157534165,0.0,0.0,0.0
180.0,15.0,2.0,1.4160228910093793,0.0,0.0,0.0
180.0,15.0,3.0,1.4164527902314916,0.0,0.0,0.0
180.0,15.0,4.0,1.42055280270186,0.0,0.0,0.0
180.0,15.0,5.0,1.4166459695959452,0.0,0.0,0.0
180.0,15.0,6.0,1.4198016851230166,0.0,0.0,0.0
180.0,15.0,7.0,1.4180212708383695,0.0,0.0,0.0
180.0,15.0,8.0,1.4231844137763052,0.0,0.0,0.0
180.0,15.0,9.0,1.4226604116758648,0.0,0.0,0.0
180.0,15.0,10.0,1.4179874860209303,0.0,0.0,0.0
180.0,15.0,11.0,1.4157896072027976,0.0,0.0,0.0
180.0,15.0,12.0,1.418709335829793,0.0,0.0,0.0
180.0,15.0,13.0,1.4131659045025253,0.0,0.0,0.0
180.0,15.0,14.0,1.416834768894551,0.0,0.0,0.0
180.0,15.0,15.0,1.4179014593252295,0.0,0.0,0.0
180.0,15.0,16.0,1.4146356488971075,0.0,0.0,0.0
180.0,15.0,17.0,1.4186258846662259,0.0,0.0,0.0
180.0,15.0,18.0,1.4244668327784442,0.0,0.0,0.0
180.0,15.0,19.0,1.4199215042398403,0.0,0.0,0.0
180.0,15.0,20.0,1.4138786389773494,0.0,0.0,0.0
180.0,15.0,21.0,1.4244856754538058,0.0,0.0,0.0
180.0,15.0,22.0,1.4114991737984421,0.0,0.0,0.0
180.0,15.0,23.0,1.4192192545181197,0.0,0.0,0.0
180.0,15.0,24.0,1.4103168979117118,0.0,0.0,0.0
180.0,15.0,25.0,1.4172009964017724,0.0,0.0,0.0
180.0,15.0,26.0,1.4166085006981457,0.0,0.0,0.0
180.0,15.0,27.0,1.4194623871003669,0.0,0.0,0.0
180.0,15.0,28.0,1.418072846963267,0.0,0.0,0.0
180.0,15.0,29.0,1.4142572535178848,0.0,0.0,0.0
180.0,15.0,30.0,1.4230975174961353,0.0,0.0,0.0
180.0,15.0,31.0,1.415379438426379,0.0,0.0,0.0
180.0,15.0,32.0,1.4203781429747508,0.0,0.0,0.0
180.0,15.0,33.0,1.4234914904459872,0.0,0.0,0.0
180.0,15.0,34.0,1.419828927825334,0.0,0.0,0.0
180.0,15.0,35.0,1.419901161684032,0.0,0.0,0.0
180.0,15.0,36.0,1.4198494382410294,0.0,0.0,0.0
180.0,15.0,37.0,1.4151987733459388,0.0,0.0,0.0
180.0,15.0,38.0,1.4139911240262095,0.0,0.0,0.0
180.0,15.0,39.0,1.4209134737615143,0.0,0.0,0.0
180.0,15.0,40.0,1.413116321551808,0.0,0.0,0.0
180.0,15.0,41.0,1.4152740532613557,0.0,0.0,0.0
180.0,15.0,42.0,1.420245098763069,0.0,0.0,0.0
180.0,15.0,43.0,1.4202746629544867,0.0,0.0,0.0
180.0,15.0,44.0,1.42386319969219,0.0,0.0,0.0
180.0,15.0,45.0,1.4129851916814913,0.0,0.0,0.0
180.0,15.0,46.0,1.4203911421885471,0.0,0.0,0.0
180.0,15.0,47.0,1.4228601315439873,0.0,0.0,0.0
180.0,15.0,48.0,1.4204074971708944,0.0,0.0,0.0
180.0,15.0,49.0,1.4115061026842848,0.0,0.0,0.0
180.0,15.0,50.0,1.4194390073619092,0.0,0.0,0.0
180.0,15.0,51.0,1.4223735231822987,0.0,0.0,0.0
180.0,15.0,52.0,1.4127479384620742,0.0,0.0,0.0
180.0,15.0,53.0,1.4166137360135476,0.0,0.0,0.0
180.0,15.0,54.0,1.4110357927832933,0.0,0.0,0.0
180.0,15.0,55.0,1.4174234805853339,0.0,0.0,0.0
180.0,15.0,56.0,1.4173543401827744,0.0,0.0,0.0
180.0,15.0,57.0,1.4106752064634316,0.0,0.0,0.0
180.0,15.0,58.0,1.42210145226747,0.0,0.0,0.0
180.0,15.0,59.0,1.4143707617818708,0.0,0.0,0.0
180.0,15.0,60.0,1.4168615122961052,0.0,0.0,0.0
180.0,15.0,61.0,1.418510875608392,0.0,0.0,0.0
180.0,15.0,62.0,1.4184825731260535,0.0,0.0,0.0
180.0,15.0,63.0,1.4174172857671907,0.0,0.0,0.0
180.0,15.0,64.0,1.4200016131032758,0.0,0.0,0.0
180.0,15.0,65.0,1.4173045120638785,0.0,0.0,0.0
180.0,15.0,66.0,1.421309111396476,0.0,0.0,0.0
180.0,15.0,67.0,1.4207324167279747,0.0,0.0,0.0
180.0,15.0,68.0,1.4155039805341807,0.0,0.0,0.0
180.0,15.0,69.0,1.4163434665146375,0.0,0.0,0.0
180.0,15.0,70.0,1.4174139378364554,0.0,0.0,0.0
180.0,15.0,71.0,1.4160492477028916,0.0,0.0,0.0
180.0,15.0,72.0,1.4199602888084,0.0,0.0,0.0
180.0,15.0,73.0,1.4176790257991594,0.0,0.0,0.0
180.0,15.0,74.0,1.4195855001436657,0.0,0.0,0.0
180.0,15.0,75.0,1.4178209930038392,0.0,0.0,0.0
180.0,15.0,76.0,1.412310242281847,0.0,0.0,0.0
180.0,15.0,77.0,1.4181049154581908,0.0,0.0,0.0
180.0,15.0,78.0,1.4164820323195857,0.0,0.0,0.0
180.0,15.0,79.0,1.421342182835273,0.0,0.0,0.0
180.0,15.0,80.0,1.416245327188609,0.0,0.0,0.0
180.0,15.0,81.0,1.421040377435121,0.0,0.0,0.0
180.0,15.0,82.0,1.4148453687517573,0.0,0.0,0.0
180.0,15.0,83.0,1.4134772439902499,0.0,0.0,0.0
180.0,15.0,84.0,1.4151751003905744,0.0,0.0,0.0
180.0,15.0,85.0,1.4207611026763347,0.0,0.0,0.0
180.0,15.0,86.0,1.4199528248255566,0.0,0.0,0.0
180.0,15.0,87.0,1.4188696557161318,0.0,0.0,0.0
180.0,15.0,88.0,1.422664547869771,0.0,0.0,0.0
180.0,15.0,89.0,1.4189362603235371,0.0,0.0,0.0
180.0,15.0,90.0,1.4171097160240418,0.0,0.0,0.0
180.0,15.0,91.0,1.4174374988541782,0.0,0.0,0.0
180.0,15.0,92.0,1.4132845130793148,0.0,0.0,0.0
180.0,15.0,93.0,1.4190453637355436,0.0,0.0,0.0
180.0,15.0,94.0,1.4180800618490654,0.0,0.0,0.0
180.0,15.0,95.0,1.420288791527315,0.0,0.0,0.0
180.0,15.0,96.0,1.4152249530236785,0.0,0.0,0.0
180.0,15.0,97.0,1.4177391066263287,0.0,0.0,0.0
180.0,15.0,98.0,1.4192096174915214,0.0,0.0,0.0
180.0,15.0,99.0,1.4123891746544466,0.0,0.0,0.0
182.0,15.0,0.0,1.427730653162993,0.0,0.0,0.0
182.0,15.0,1.0,1.4229577308882873,0.0,0.0,0.0
182.0,15.0,2.0,1.4241147527889264,0.0,0.0,0.0
182.0,15.0,3.0,1.4262684708703195,0.0,0.0,0.0
182.0,15.0,4.0,1.4275209821080044,0.0,0.0,0.0
182.0,15.0,5.0,1.4340657101493866,0.0,0.0,0.0
182.0,15.0,6.0,1.4250295722300181,0.0,0.0,0.0
