r,delay,repetition,avgtime,congested,f,informed
200.0,15.0,0.0,1.5323206926155841,0.0,0.4,0.400834625014904
200.0,15.0,1.0,1.5346940192954712,0.0,0.4,0.39979535503521796
200.0,15.0,2.0,1.5467482442590634,0.0,0.4,0.3991142435354064
200.0,15.0,3.0,4.503427978456357,1.0,0.4,0.39818375334752454
200.0,15.0,4.0,1.5411946775928713,0.0,0.4,0.40088579034703403
200.0,15.0,5.0,1.5328298920809484,0.0,0.4,0.40051645605939246
200.0,15.0,6.0,1.5394122564338037,0.0,0.4,0.4022347702555899
200.0,15.0,7.0,1.5364258569495053,0.0,0.4,0.39847003926342295
200.0,15.0,8.0,4.588863751331067,1.0,0.4,0.3939709340426352
200.0,15.0,9.0,1.544634052417509,0.0,0.4,0.39876863099341525
200.0,15.0,10.0,1.5492288104366971,0.0,0.4,0.39872325333963826
200.0,15.0,11.0,1.537001977649156,0.0,0.4,0.39715661272254926
200.0,15.0,12.0,1.532168457032471,0.0,0.4,0.39824772909032313
200.0,15.0,13.0,1.558321069482153,0.0,0.4,0.39940447832301096
200.0,15.0,14.0,1.5307918984052375,0.0,0.4,0.3994759323737392
200.0,15.0,15.0,1.5325319620001374,0.0,0.4,0.40090159926536356
200.0,15.0,16.0,1.537950261696403,0.0,0.4,0.4018896213617649
200.0,15.0,17.0,1.5360580345750696,0.0,0.4,0.39707094477560234
200.0,15.0,18.0,1.551110427233524,0.0,0.4,0.40122315460105246
200.0,15.0,19.0,1.5357669504720444,0.0,0.4,0.40491520380839036
200.0,15.0,20.0,1.540418212737318,0.0,0.4,0.40483340483340485
200.0,15.0,21.0,1.5560859108077536,0.0,0.4,0.40091545182553967
200.0,15.0,22.0,1.535657470193747,0.0,0.4,0.3979141309276628
200.0,15.0,23.0,1.5369432317705964,0.0,0.4,0.3982571636051952
200.0,15.0,24.0,1.5391588401880394,0.0,0.4,0.400689688203458
200.0,15.0,25.0,3.765251393060579,1.0,0.4,0.3989561327202684
200.0,15.0,26.0,1.5468518858437423,0.0,0.4,0.3985715302659991
200.0,15.0,27.0,1.5284146244566976,0.0,0.4,0.4009390118925618
200.0,15.0,28.0,1.5402838424764467,0.0,0.4,0.40014054646370806
200.0,15.0,29.0,1.5419819444499463,0.0,0.4,0.399228635708929
200.0,15.0,30.0,1.5417981511198107,0.0,0.4,0.40009065318001813
200.0,15.0,31.0,1.5425701844841235,0.0,0.4,0.4027568356940174
200.0,15.0,32.0,1.5392890567211133,0.0,0.4,0.4009833962801967
200.0,15.0,33.0,1.5440181652678524,0.0,0.4,0.40014516551248186
200.0,15.0,34.0,1.532050389093648,0.0,0.4,0.4020453704698147
200.0,15.0,35.0,1.5465787169227818,0.0,0.4,0.4006612706350805
200.0,15.0,36.0,1.533662774939188,0.0,0.4,0.40041516051680326
200.0,15.0,37.0,1.5368008740762396,0.0,0.4,0.3992638535355346
200.0,15.0,38.0,1.524144470588244,0.0,0.4,0.40100799693530625
200.0,15.0,39.0,1.543060745738491,0.0,0.4,0.40080322239517113
200.0,15.0,40.0,1.5492112362464678,0.0,0.4,0.402435105509337
200.0,15.0,41.0,8.097370156440606,1.0,0.4,0.39760853774375593
200.0,15.0,42.0,1.5279700058325962,0.0,0.4,0.39960416343757826
200.0,15.0,43.0,1.540492262778195,0.0,0.4,0.39996912077340585
200.0,15.0,44.0,1.5400650716637387,0.0,0.4,0.39907747093196944
200.0,15.0,45.0,1.5361587019905971,0.0,0.4,0.40285779034124114
200.0,15.0,46.0,1.5322621324810752,0.0,0.4,0.39907763626371
200.0,15.0,47.0,1.5424294868196569,0.0,0.4,0.3996325490428495
200.0,15.0,48.0,1.5243345433917337,0.0,0.4,0.4010906220850972
200.0,15.0,49.0,1.535808300798091,0.0,0.4,0.400930676530247
200.0,15.0,50.0,1.540656813847642,0.0,0.4,0.3984689382574946
200.0,15.0,51.0,1.5378866447614739,0.0,0.4,0.4018867924528302
200.0,15.0,52.0,1.5427293901503996,0.0,0.4,0.40005934013766914
200.0,15.0,53.0,1.5287554440868092,0.0,0.4,0.4006703776859999
200.0,15.0,54.0,1.5420319007557595,0.0,0.4,0.402890770674236
200.0,15.0,55.0,1.5379299599919796,0.0,0.4,0.3990988206201255
200.0,15.0,56.0,1.9126594130401757,0.0,0.4,0.3982793643207074
200.0,15.0,57.0,1.5417472400139678,0.0,0.4,0.40165291224560273
200.0,15.0,58.0,1.5362501879885766,0.0,0.4,0.3957530335474661
200.0,15.0,59.0,1.5410746270017208,0.0,0.4,0.4015109154720124
200.0,15.0,60.0,1.53751954471196,0.0,0.4,0.4023785690452357
200.0,15.0,61.0,1.5374153821037677,0.0,0.4,0.3992717287488061
200.0,15.0,62.0,4.6497750188885165,1.0,0.4,0.4009433065175634
200.0,15.0,63.0,1.5501975780905803,0.0,0.4,0.3989896599862764
200.0,15.0,64.0,1.5445766354948975,0.0,0.4,0.3985349811827
200.0,15.0,65.0,1.535413779688563,0.0,0.4,0.4000810556303863
200.0,15.0,66.0,1.537260116400263,0.0,0.4,0.3998738155325937
200.0,15.0,67.0,1.5453847726582728,0.0,0.4,0.39937062106638166
200.0,15.0,68.0,1.540713921836527,0.0,0.4,0.39839299278389667
200.0,15.0,69.0,1.5467769020700664,0.0,0.4,0.39777379582052713
200.0,15.0,70.0,1.546662845210984,0.0,0.4,0.39954120807283616
200.0,15.0,71.0,1.5457138667119872,0.0,0.4,0.3975316545739081
200.0,15.0,72.0,1.8143855571836782,0.0,0.4,0.4008789120494091
200.0,15.0,73.0,7.149732894033499,1.0,0.4,0.39490897627866656
200.0,15.0,74.0,1.5431234202000983,0.0,0.4,0.40015002500416735
200.0,15.0,75.0,1.5282508876783771,0.0,0.4,0.40377448638318203
200.0,15.0,76.0,1.55140189763334,0.0,0.4,0.39772229003472265
200.0,15.0,77.0,1.5440104501353724,0.0,0.4,0.39874134375856685
200.0,15.0,78.0,1.549332494068548,0.0,0.4,0.39870722884421517
200.0,15.0,79.0,1.5530742512661488,0.0,0.4,0.4006636250518457
200.0,15.0,80.0,1.5451006420546691,0.0,0.4,0.3984759824809201
200.0,15.0,81.0,1.5413253042669939,0.0,0.4,0.4011236355429915
200.0,15.0,82.0,1.5320231973969933,0.0,0.4,0.4000621622913977
200.0,15.0,83.0,1.5384817369982828,0.0,0.4,0.401902992628583
200.0,15.0,84.0,10.026774331936354,1.0,0.4,0.40294749314967043
200.0,15.0,85.0,1.5393001029865072,0.0,0.4,0.398053533749022
200.0,15.0,86.0,1.541353021957224,0.0,0.4,0.4013217325155708
200.0,15.0,87.0,1.5528262922991423,0.0,0.4,0.40311292298991425
200.0,15.0,88.0,1.5514457055625133,0.0,0.4,0.3988841242389064
200.0,15.0,89.0,1.5326906204953858,0.0,0.4,0.4016831529955124
200.0,15.0,90.0,3.5816463670340473,1.0,0.4,0.40019974737831565
200.0,15.0,91.0,1.5362162675533855,0.0,0.4,0.4000356485057335
200.0,15.0,92.0,1.5379278291869656,0.0,0.4,0.4002736954840245
200.0,15.0,93.0,1.5368254120754108,0.0,0.4,0.3981029615807856
200.0,15.0,94.0,1.5342213278058243,0.0,0.4,0.39956287787900746
200.0,15.0,95.0,1.536264640565901,0.0,0.4,0.40186971466631777
200.0,15.0,96.0,1.5410691986065068,0.0,0.4,0.3997626676159962
200.0,15.0,97.0,1.5504062412913902,0.0,0.4,0.4028237422918502
200.0,15.0,98.0,1.5564108285596066,0.0,0.4,0.39716437854009246
200.0,15.0,99.0,1.5451221358376035,0.0,0.4,0.39924907619737887
202.0,15.0,0.0,2.381181107696944,1.0,0.4,0.3983780088172195
202.0,15.0,1.0,1.5549673512984268,0.0,0.4,0.3995990842990499
202.0,15.0,2.0,1.568400705096775,0.0,0.4,0.400429018532194
202.0,15.0,3.0,1.5598332169736424,0.0,0.4,0.39685695128980275
202.0,15.0,4.0,1.5579412084835604,0.0,0.4,0.4012630785182392
202.0,15.0,5.0,1.5652807304241976,0.0,0.4,0.4038173255113965
202.0,15.0,6.0,1.5538800988213963,0.0,0.4,0.40299178146987524
202.0,15.0,7.0,1.5635158539706708,0.0,0.4,0.40167700980624377
202.0,15.0,8.0,10.73122868584354,1.0,0.4,0.3999563366444711
202.0,15.0,9.0,1.5497832512278085,0.0,0.4,0.3975880934172598
202.0,15.0,10.0,24.262951564454024,1.0,0.4,0.39673464900225386
202.0,15.0,11.0,1.5502088565737888,0.0,0.4,0.3984555257333898
202.0,15.0,12.0,1.5606571642390548,0.0,0.4,0.40157172320603085
