r,delay,repetition,avgtime,congested,f,informed
214.0,5.0,0.0,1.6624726974691064,0.0,0.5,0.498495361170098
214.0,5.0,1.0,1.6561688940181156,0.0,0.5,0.5005584045584046
214.0,5.0,2.0,1.644661994264282,0.0,0.5,0.49895223561032276
214.0,5.0,3.0,1.6562229057427524,0.0,0.5,0.4995325824250992
214.0,5.0,4.0,1.6521606971588905,0.0,0.5,0.4984919111598574
214.0,5.0,5.0,1.6615357028730453,0.0,0.5,0.49917453232986825
214.0,5.0,6.0,1.6571249034896642,0.0,0.5,0.49962376011857257
214.0,5.0,7.0,1.6544819959755432,0.0,0.5,0.5015383218101109
214.0,5.0,8.0,1.6592197571292757,0.0,0.5,0.5002571928260348
214.0,5.0,9.0,1.651243074159933,0.0,0.5,0.4981848486232248
214.0,5.0,10.0,2.115025489806203,1.0,0.5,0.4986748716887952
214.0,5.0,11.0,1.647322362919225,0.0,0.5,0.5018502444150029
214.0,5.0,12.0,1.6706968048865227,0.0,0.5,0.5021080264099913
214.0,5.0,13.0,1.6719897400484847,0.0,0.5,0.5015083127310667
214.0,5.0,14.0,1.6439261387661088,0.0,0.5,0.5008224435712327
214.0,5.0,15.0,1.6624757502649747,0.0,0.5,0.499153418711151
214.0,5.0,16.0,2.435328020777516,1.0,0.5,0.49998195987877037
214.0,5.0,17.0,1.6574087663247794,0.0,0.5,0.499397604055375
214.0,5.0,18.0,1.6621325647912055,0.0,0.5,0.5006144742831133
214.0,5.0,19.0,1.6573994356143882,0.0,0.5,0.5007578952167124
214.0,5.0,20.0,1.6460118614201649,0.0,0.5,0.500051424457472
214.0,5.0,21.0,1.6431411360706334,0.0,0.5,0.5010036725290267
214.0,5.0,22.0,1.6464728220782319,0.0,0.5,0.4984386617100372
214.0,5.0,23.0,1.6633011438187002,0.0,0.5,0.5035925275427111
214.0,5.0,24.0,1.6502291259332502,0.0,0.5,0.5009607026853927
214.0,5.0,25.0,1.6452018876468875,0.0,0.5,0.4994683222995918
214.0,5.0,26.0,1.6620024769170543,0.0,0.5,0.4984329222593173
214.0,5.0,27.0,1.6386861797547525,0.0,0.5,0.49867659696362077
214.0,5.0,28.0,1.6533754489181591,0.0,0.5,0.5006777151318412
214.0,5.0,29.0,1.6557884378015921,0.0,0.5,0.4992162653339391
214.0,5.0,30.0,1.6488673792554753,0.0,0.5,0.49869021608574793
214.0,5.0,31.0,1.6563039624647606,0.0,0.5,0.4974892110087564
214.0,5.0,32.0,1.6495367471183655,0.0,0.5,0.4994139002378541
214.0,5.0,33.0,1.6554561477699743,0.0,0.5,0.49811716913526716
214.0,5.0,34.0,1.6432555681677967,0.0,0.5,0.5020825444907232
214.0,5.0,35.0,1.6477115305234133,0.0,0.5,0.49878339939912497
214.0,5.0,36.0,1.6423005897949028,0.0,0.5,0.4982253669483181
214.0,5.0,37.0,1.660907359570745,0.0,0.5,0.5014204059280556
214.0,5.0,38.0,1.6523658360367632,0.0,0.5,0.49754366812227074
214.0,5.0,39.0,1.6541681011607707,0.0,0.5,0.5016027827035875
214.0,5.0,40.0,1.6649636258052467,0.0,0.5,0.5005315299013843
214.0,5.0,41.0,6.5336283789751,1.0,0.5,0.499332175771337
214.0,5.0,42.0,1.6615974889395573,0.0,0.5,0.5011338639816768
214.0,5.0,43.0,3.628154774470311,1.0,0.5,0.5011633317822243
214.0,5.0,44.0,1.644870179400257,0.0,0.5,0.4988279954720606
214.0,5.0,45.0,1.6526919732835808,0.0,0.5,0.5018062060556334
214.0,5.0,46.0,1.6456536253576366,0.0,0.5,0.4983481430849852
214.0,5.0,47.0,1.6472907491057491,0.0,0.5,0.4986927582230645
214.0,5.0,48.0,1.6720493580073106,0.0,0.5,0.49942500597766065
214.0,5.0,49.0,1.658254324819009,0.0,0.5,0.5014036288942143
214.0,5.0,50.0,1.6654561272177082,0.0,0.5,0.500345464224631
214.0,5.0,51.0,1.6586225092090174,0.0,0.5,0.500415296567261
214.0,5.0,52.0,1.6501606224810932,0.0,0.5,0.501924916852704
214.0,5.0,53.0,1.6589910177055178,0.0,0.5,0.5000967811720769
214.0,5.0,54.0,1.6508291886289457,0.0,0.5,0.5030018182441937
214.0,5.0,55.0,1.6618190101505095,0.0,0.5,0.5003986332574032
214.0,5.0,56.0,1.6607089259689538,0.0,0.5,0.5003471550360244
214.0,5.0,57.0,1.640109492722396,0.0,0.5,0.501023804893673
214.0,5.0,58.0,1.6630391756494287,0.0,0.5,0.4990283538837434
214.0,5.0,59.0,1.67120654407054,0.0,0.5,0.49866790617524687
214.0,5.0,60.0,1.668812640444767,0.0,0.5,0.49899701383665
214.0,5.0,61.0,1.65418875273453,0.0,0.5,0.5015622861834603
214.0,5.0,62.0,1.6534064616809638,0.0,0.5,0.5022817505590289
214.0,5.0,63.0,1.65440143603832,0.0,0.5,0.4986618887780096
214.0,5.0,64.0,1.6470468733548511,0.0,0.5,0.49802480477721633
214.0,5.0,65.0,1.654155324340724,0.0,0.5,0.4990834253703303
214.0,5.0,66.0,2.4710116379123246,1.0,0.5,0.4995213409677944
214.0,5.0,67.0,1.6606932542468187,0.0,0.5,0.49877272161706654
214.0,5.0,68.0,1.647540760325219,0.0,0.5,0.5012996530441653
214.0,5.0,69.0,1.6490958651667078,0.0,0.5,0.5013855763770585
214.0,5.0,70.0,1.6609308725863023,0.0,0.5,0.5016825447352266
214.0,5.0,71.0,1.6641539560634153,0.0,0.5,0.4987812758624599
214.0,5.0,72.0,1.642533085593149,0.0,0.5,0.5010616929698709
214.0,5.0,73.0,1.6431033569925184,0.0,0.5,0.5016717446623988
214.0,5.0,74.0,1.6692061727822747,0.0,0.5,0.5009179926560587
